r,gtt,grr,phi,gtt_schw,grr_schw
1.006942078418892939e+00,6.883277366363238503e-03,1.449286951896575317e+02,7.078554728500738857e-01,6.894218215404590566e-03,1.450490786273022650e+02
1.007405921867039034e+00,7.339918366259494051e-03,1.359068404930305292e+02,7.078503960710786913e-01,7.351477399808792335e-03,1.360270794039317082e+02
1.007869978982633308e+00,7.796387984449115217e-03,1.279450235962608673e+02,7.078453169534875133e-01,7.808526046759967087e-03,1.280651423856023712e+02
1.008334249864100807e+00,8.252689795958537480e-03,1.208667844931964197e+02,7.078402354962231025e-01,8.265364253196905153e-03,1.209868034083575594e+02
1.008798734609911651e+00,8.708827180388019340e-03,1.145327702435802877e+02,7.078351516982077651e-01,8.721992116013099761e-03,1.146527062509096737e+02
1.009263433318581926e+00,9.164803328330316939e-03,1.088314682672714042e+02,7.078300655583631418e-01,9.178409732058412374e-03,1.089513357098444999e+02
1.009728346088672346e+00,9.620621247632823309e-03,1.036725845339682195e+02,7.078249770756104287e-01,9.634617198136963268e-03,1.037923956328404103e+02
1.010193473018789367e+00,1.007628376951389196e-02,9.898222592046529655e+01,7.078198862488706000e-01,1.009061461100901891e-02,9.910199116206304382e+01
1.010658814207584744e+00,1.053179355452925348e-02,9.469933815894580675e+01,7.078147930770637419e-01,1.054640206738999275e-02,9.481906659827150463e+01
1.011124369753756191e+00,1.098715309839594888e-02,9.077303349323653947e+01,7.078096975591097184e-01,1.100197966395111138e-02,9.089273299391581418e+01
1.011590139756046280e+00,1.144236473767347266e-02,8.716055914100574853e+01,7.078045996939276163e-01,1.145734749731874835e-02,8.728023656732243296e+01
1.012056124313243322e+00,1.189743065530745984e-02,8.382573418116683683e+01,7.077994994804363005e-01,1.191250566407497935e-02,8.394539555315722623e+01
1.012522323524180923e+00,1.235235288603643219e-02,8.073773352051981078e+01,7.077943969175540806e-01,1.236745426075724907e-02,8.085738414032920218e+01
1.012988737487738655e+00,1.280713332166583292e-02,7.787013223704630605e+01,7.077891336191658445e-01,1.282219338385870433e-02,7.798977679270194585e+01
1.013455366302841165e+00,1.326177371621065949e-02,7.520014749735194926e+01,7.077838340782194315e-01,1.327672312982797198e-02,7.531979014862208999e+01
1.013922210068459062e+00,1.371627569091029598e-02,7.270803198095877917e+01,7.077785320960627846e-01,1.373104359506938099e-02,7.282767643087854026e+01
1.014389268883608031e+00,1.417064073911689613e-02,7.037658462417510918e+01,7.077732276715713589e-01,1.418515487594251834e-02,7.049623417901216271e+01
1.014856542847350163e+00,1.462487023106192642e-02,6.819075303727760229e+01,7.077679208036200542e-01,1.463905706876322821e-02,6.831041065710418536e+01
1.015324032058792181e+00,1.507896541849957327e-02,6.613730816195496232e+01,7.077626114910833266e-01,1.509275026980239076e-02,6.625697650353377810e+01
1.015791736617087437e+00,1.553292743923402087e-02,6.420457630549022099e+01,7.077572997328350768e-01,1.554623457528703234e-02,6.432425775883012875e+01
1.016259656621434138e+00,1.598675732152856493e-02,6.238221708346736705e+01,7.077519855277487615e-01,1.599951008139943731e-02,6.250191380313393097e+01
1.016727792171077116e+00,1.644045598840285227e-02,6.066103834970930109e+01,7.077466688746971712e-01,1.645257688427825826e-02,6.078075228176439992e+01
1.017196143365305616e+00,1.689402426181567732e-02,5.903284111998559780e+01,7.077413497725526526e-01,1.690543508001673967e-02,5.915257402526488306e+01
1.017664710303455955e+00,1.734746286674276536e-02,5.749028896745132755e+01,7.077360282201871078e-01,1.735808476466527139e-02,5.761004244175804700e+01
1.018133493084909524e+00,1.780077243514270255e-02,5.602679749993038882e+01,7.077307042164717732e-01,1.781052603422927927e-02,5.614657299161985549e+01
