omega,lmax_eff,sigma_abs
1.740000000000000657e+00,9.000000000000000000e+00,1.949760060682360319e+01
1.760000000000000675e+00,9.000000000000000000e+00,1.971177587470394954e+01
1.780000000000000693e+00,9.000000000000000000e+00,1.989527403875429812e+01
1.800000000000000711e+00,9.000000000000000000e+00,2.010700026276003172e+01
1.820000000000000728e+00,9.000000000000000000e+00,2.028122045368752069e+01
1.840000000000000746e+00,9.000000000000000000e+00,2.043079010321260824e+01
1.860000000000000764e+00,9.000000000000000000e+00,2.051429880079328072e+01
1.880000000000000782e+00,9.000000000000000000e+00,2.052753188325852562e+01
1.900000000000000799e+00,9.000000000000000000e+00,2.048472514937391864e+01
1.920000000000000817e+00,9.000000000000000000e+00,2.039040505861713726e+01
1.940000000000000835e+00,9.000000000000000000e+00,2.025241069347174516e+01
1.960000000000000853e+00,9.000000000000000000e+00,2.009011823860135948e+01
1.980000000000000870e+00,9.000000000000000000e+00,1.992017347917979464e+01
2.000000000000000888e+00,9.000000000000000000e+00,1.973903423684431502e+01
2.020000000000000906e+00,9.000000000000000000e+00,1.957877487425025720e+01
2.040000000000000924e+00,9.000000000000000000e+00,1.944100047034835654e+01
2.060000000000000941e+00,9.000000000000000000e+00,1.934803709131903204e+01
2.080000000000000959e+00,9.000000000000000000e+00,1.929897157260882423e+01
2.100000000000000977e+00,1.000000000000000000e+01,1.930187574866686617e+01
2.120000000000000995e+00,1.000000000000000000e+01,1.936018771507159997e+01
2.140000000000001013e+00,1.000000000000000000e+01,1.946932128835478792e+01
2.160000000000001030e+00,1.000000000000000000e+01,1.962056257381566482e+01
2.180000000000001048e+00,1.000000000000000000e+01,1.979377559876374448e+01
2.200000000000001066e+00,1.000000000000000000e+01,1.996627700845780851e+01
2.220000000000001084e+00,1.000000000000000000e+01,2.013068251615588267e+01
2.240000000000001101e+00,1.000000000000000000e+01,2.025442044634739958e+01
2.260000000000001119e+00,1.000000000000000000e+01,2.032989589556602894e+01
2.280000000000001137e+00,1.000000000000000000e+01,2.035455409002568672e+01
2.300000000000001155e+00,1.000000000000000000e+01,2.032686288437423983e+01
2.320000000000001172e+00,1.000000000000000000e+01,2.025571650677994739e+01
2.340000000000001190e+00,1.000000000000000000e+01,2.014688293435920841e+01
2.360000000000001208e+00,1.000000000000000000e+01,2.001358186710675469e+01
2.380000000000001226e+00,1.000000000000000000e+01,1.986888197863289918e+01
2.400000000000001243e+00,1.000000000000000000e+01,1.972215050645078094e+01
2.420000000000001261e+00,1.000000000000000000e+01,1.958143263165409920e+01
2.440000000000001279e+00,1.000000000000000000e+01,1.946970259211608933e+01
2.460000000000001297e+00,1.000000000000000000e+01,1.938418415658125582e+01
2.480000000000001315e+00,1.100000000000000000e+01,1.934100368124345692e+01
2.500000000000001332e+00,1.100000000000000000e+01,1.933670572300264823e+01
2.520000000000001350e+00,1.100000000000000000e+01,1.938121807533556407e+01
2.540000000000001368e+00,1.100000000000000000e+01,1.947403015497249967e+01
2.560000000000001386e+00,1.100000000000000000e+01,1.959696370489820794e+01
2.580000000000001403e+00,1.100000000000000000e+01,1.974302559994579909e+01
2.600000000000001421e+00,1.100000000000000000e+01,1.989922118120255945e+01
2.620000000000001439e+00,1.100000000000000000e+01,2.003770354362302442e+01
2.640000000000001457e+00,1.100000000000000000e+01,2.013396723066640703e+01
2.660000000000001474e+00,1.100000000000000000e+01,2.022091738716207132e+01
2.680000000000001492e+00,1.100000000000000000e+01,2.024517450719746137e+01
2.700000000000001510e+00,1.100000000000000000e+01,2.023075868288517754e+01
2.720000000000001528e+00,1.100000000000000000e+01,2.016790622759984331e+01
2.740000000000001545e+00,1.100000000000000000e+01,2.007613932431028658e+01
2.760000000000001563e+00,1.100000000000000000e+01,1.996531521697716727e+01
2.780000000000001581e+00,1.100000000000000000e+01,1.983926857384038911e+01
2.800000000000001599e+00,1.100000000000000000e+01,1.971162327625713928e+01
2.820000000000001616e+00,1.100000000000000000e+01,1.959390041048691700e+01
2.840000000000001634e+00,1.100000000000000000e+01,1.949130350060568162e+01
2.860000000000001652e+00,1.100000000000000000e+01,1.941181034538442773e+01
2.880000000000001670e+00,1.200000000000000000e+01,1.937328290125710950e+01
2.900000000000001688e+00,1.200000000000000000e+01,1.936964464646527162e+01
2.920000000000001705e+00,1.200000000000000000e+01,1.940906030850606712e+01
2.940000000000001723e+00,1.200000000000000000e+01,1.948363921089967832e+01
2.960000000000001741e+00,1.200000000000000000e+01,1.959331994447418168e+01
2.980000000000001759e+00,1.200000000000000000e+01,1.972360728588889600e+01
3.000000000000001776e+00,1.200000000000000000e+01,1.985890434887847888e+01
3.020000000000001794e+00,1.200000000000000000e+01,1.998305601255191988e+01
3.040000000000001812e+00,1.200000000000000000e+01,2.008282900601823329e+01
3.060000000000001830e+00,1.200000000000000000e+01,2.014705257149705275e+01
3.080000000000001847e+00,1.200000000000000000e+01,2.017327010581205826e+01
3.100000000000001865e+00,1.200000000000000000e+01,2.015716284292883742e+01
3.120000000000001883e+00,1.200000000000000000e+01,2.010691468732398590e+01
3.140000000000001901e+00,1.200000000000000000e+01,2.002422431285419435e+01
3.160000000000001918e+00,1.200000000000000000e+01,1.992860827858262596e+01
3.180000000000001936e+00,1.200000000000000000e+01,1.981906684700318522e+01
3.200000000000001954e+00,1.200000000000000000e+01,1.970599801903320980e+01
3.220000000000001972e+00,1.200000000000000000e+01,1.960133306408152976e+01
3.240000000000001990e+00,1.200000000000000000e+01,1.951129601468809582e+01
3.260000000000002007e+00,1.200000000000000000e+01,1.944233376708329430e+01
3.280000000000002025e+00,1.300000000000000000e+01,1.940449178854820644e+01
3.300000000000002043e+00,1.300000000000000000e+01,1.940165789544062491e+01
3.320000000000002061e+00,1.300000000000000000e+01,1.943309472038166419e+01
3.340000000000002078e+00,1.300000000000000000e+01,1.950154296140043542e+01
3.360000000000002096e+00,1.300000000000000000e+01,1.958987974547585509e+01
3.380000000000002114e+00,1.300000000000000000e+01,1.971466627441742858e+01
3.400000000000002132e+00,1.300000000000000000e+01,1.983730272643171944e+01
3.420000000000002149e+00,1.300000000000000000e+01,1.994643268922300550e+01
3.440000000000002167e+00,1.300000000000000000e+01,2.003813985262685549e+01
3.460000000000002185e+00,1.300000000000000000e+01,2.009871969402950498e+01
3.480000000000002203e+00,1.300000000000000000e+01,2.011776844647752682e+01
3.500000000000002220e+00,1.300000000000000000e+01,2.010594748001584620e+01
3.520000000000002238e+00,1.300000000000000000e+01,2.006462873844301598e+01
3.540000000000002256e+00,1.300000000000000000e+01,1.999018365868788649e+01
3.560000000000002274e+00,1.300000000000000000e+01,1.990211182950057989e+01
3.580000000000002292e+00,1.300000000000000000e+01,1.980214820992608438e+01
3.600000000000002309e+00,1.300000000000000000e+01,1.970330647127289581e+01
3.620000000000002327e+00,1.300000000000000000e+01,1.960892750890323555e+01
3.640000000000002345e+00,1.300000000000000000e+01,1.952613582576674744e+01
3.660000000000002363e+00,1.400000000000000000e+01,1.946619696133402400e+01
3.680000000000002380e+00,1.400000000000000000e+01,1.943231682757577516e+01
3.700000000000002398e+00,1.400000000000000000e+01,1.942739417793679735e+01
3.720000000000002416e+00,1.400000000000000000e+01,1.945756286108217736e+01
3.740000000000002434e+00,1.400000000000000000e+01,1.951986469074520869e+01
3.760000000000002451e+00,1.400000000000000000e+01,1.960692641180917661e+01
3.780000000000002469e+00,1.400000000000000000e+01,1.971221396854384622e+01
3.800000000000002487e+00,1.400000000000000000e+01,1.982047612519047419e+01
3.820000000000002505e+00,1.400000000000000000e+01,1.992379509931900827e+01
3.840000000000002522e+00,1.400000000000000000e+01,2.000455714168414900e+01
3.860000000000002540e+00,1.400000000000000000e+01,2.005785989721958984e+01
3.880000000000002558e+00,1.400000000000000000e+01,2.007751768588707364e+01
3.900000000000002576e+00,1.400000000000000000e+01,2.006511739115194004e+01
3.920000000000002593e+00,1.400000000000000000e+01,2.002420212762951834e+01
3.940000000000002611e+00,1.400000000000000000e+01,1.996085027648491561e+01
3.960000000000002629e+00,1.400000000000000000e+01,1.987976371282976729e+01
3.980000000000002647e+00,1.400000000000000000e+01,1.979118565329927293e+01
4.000000000000002665e+00,1.400000000000000000e+01,1.970021551124259318e+01
4.020000000000003126e+00,1.400000000000000000e+01,1.961692295014141862e+01
4.040000000000002700e+00,1.400000000000000000e+01,1.954068981886334555e+01
4.060000000000002274e+00,1.500000000000000000e+01,1.948523363507848671e+01
4.080000000000002736e+00,1.500000000000000000e+01,1.945555983030363834e+01
4.100000000000003197e+00,1.500000000000000000e+01,1.945124607965502861e+01
4.120000000000002771e+00,1.500000000000000000e+01,1.947809761746734836e+01
4.140000000000002345e+00,1.500000000000000000e+01,1.953522213296362153e+01
4.160000000000002807e+00,1.500000000000000000e+01,1.961581050635512469e+01
4.180000000000003268e+00,1.500000000000000000e+01,1.971020293783929134e+01
4.200000000000002842e+00,1.500000000000000000e+01,1.981228639887503817e+01
4.220000000000002416e+00,1.500000000000000000e+01,1.990437667746767403e+01
4.240000000000002878e+00,1.500000000000000000e+01,1.999363662095829852e+01
4.260000000000003340e+00,1.500000000000000000e+01,2.002594461066978226e+01
4.280000000000002913e+00,1.500000000000000000e+01,2.004290797438480709e+01
4.300000000000002487e+00,1.500000000000000000e+01,2.003345249816231188e+01
4.320000000000002949e+00,1.500000000000000000e+01,1.999444643259094434e+01
4.340000000000003411e+00,1.500000000000000000e+01,1.993448165823433627e+01
4.360000000000002984e+00,1.500000000000000000e+01,1.986286700351393009e+01
4.380000000000002558e+00,1.500000000000000000e+01,1.978055274786913031e+01
4.400000000000003020e+00,1.500000000000000000e+01,1.969678281091632144e+01
4.420000000000003482e+00,1.500000000000000000e+01,1.961934091359595911e+01
4.440000000000003055e+00,1.500000000000000000e+01,1.955175502263717746e+01
4.460000000000002629e+00,1.600000000000000000e+01,1.950556624440393705e+01
4.480000000000003091e+00,1.600000000000000000e+01,1.947367336630958690e+01
4.500000000000003553e+00,1.600000000000000000e+01,1.947116288875234247e+01
4.520000000000003126e+00,1.600000000000000000e+01,1.949809543479360130e+01
4.540000000000002700e+00,1.600000000000000000e+01,1.954925968286049454e+01
4.560000000000003162e+00,1.600000000000000000e+01,1.962230954994937449e+01
4.580000000000003624e+00,1.600000000000000000e+01,1.971297155529555312e+01
4.600000000000003197e+00,1.600000000000000000e+01,1.980502141309713693e+01
4.620000000000002771e+00,1.600000000000000000e+01,1.988899120180225566e+01
4.640000000000003233e+00,1.600000000000000000e+01,1.995680333407770490e+01
4.660000000000003695e+00,1.600000000000000000e+01,2.000016771436191476e+01
4.680000000000003268e+00,1.600000000000000000e+01,2.001653259554804976e+01
4.700000000000002842e+00,1.600000000000000000e+01,2.000474019775958823e+01
4.720000000000003304e+00,1.600000000000000000e+01,1.996932265516851146e+01
4.740000000000003766e+00,1.600000000000000000e+01,1.991509483796792068e+01
4.760000000000003340e+00,1.600000000000000000e+01,1.984675819536512265e+01
4.780000000000002913e+00,1.600000000000000000e+01,1.977194180423920500e+01
4.800000000000003375e+00,1.600000000000000000e+01,1.969498322481572572e+01
4.820000000000003837e+00,1.600000000000000000e+01,1.962311162098247408e+01
4.840000000000003411e+00,1.600000000000000000e+01,1.956207698832452024e+01
4.860000000000002984e+00,1.700000000000000000e+01,1.951602985769692467e+01
4.880000000000003446e+00,1.700000000000000000e+01,1.949059662954319094e+01
4.900000000000003908e+00,1.700000000000000000e+01,1.948490778152791592e+01
4.920000000000003482e+00,1.700000000000000000e+01,1.951384471727785908e+01
4.940000000000003055e+00,1.700000000000000000e+01,1.956308060734165366e+01
4.960000000000003517e+00,1.700000000000000000e+01,1.963061857535437582e+01
4.980000000000003979e+00,1.700000000000000000e+01,1.971465076305995368e+01
5.000000000000003553e+00,1.700000000000000000e+01,1.980089814592288633e+01
5.020000000000003126e+00,1.700000000000000000e+01,1.987774466034479559e+01
5.040000000000003588e+00,1.700000000000000000e+01,1.993991370508101113e+01
5.060000000000004050e+00,1.700000000000000000e+01,1.998100076073285081e+01
5.080000000000003624e+00,1.700000000000000000e+01,1.999231269592401716e+01
5.100000000000003197e+00,1.700000000000000000e+01,1.998180400171699134e+01
5.120000000000003659e+00,1.700000000000000000e+01,1.993200805830444722e+01
