theta_deg,log10_dsigma_dOmega
42.18727663,1.96418242
42.30164403,1.95795328
42.41601144,1.95083426
42.53037884,1.94460512
42.64474625,1.93837597
42.75911365,1.93303671
42.87348106,1.92858732
42.98784846,1.92591769
43.10221587,1.92324805
43.21658327,1.91909529
43.33095068,1.91345940
43.44531808,1.90545050
43.55968549,1.89566185
43.67405289,1.88587319
43.78842030,1.87756767
43.90278771,1.87074527
44.01715511,1.86540601
44.13152252,1.86095662
44.24588992,1.85650723
44.36025733,1.85205784
44.47462473,1.84760845
44.58899214,1.84315907
44.70335954,1.83870968
44.81772695,1.83426029
44.93209435,1.83070078
45.04646176,1.82714127
45.16082916,1.82447164
45.27519657,1.82269188
45.38956397,1.82180200
45.50393138,1.82091212
45.61829878,1.82091212
45.73266619,1.82091212
45.84703360,1.82091212
45.96140100,1.82091212
46.07576841,1.82076381
46.19013581,1.82046719
46.30450322,1.82002225
46.41887062,1.81942900
46.53323803,1.81868743
46.64760543,1.81794587
46.76197284,1.81557286
46.87634024,1.81334816
46.99070765,1.81127178
47.10507505,1.80934372
47.21944246,1.80667408
47.33380986,1.80578420
47.44817727,1.80489433
47.56254467,1.80400445
47.67691208,1.80311457
47.79127949,1.80222469
47.90564689,1.80133482
48.02001430,1.80044494
48.13438170,1.79866518
48.24874911,1.79688543
48.36311651,1.79510567
48.47748392,1.79332592
48.59185132,1.79065628
48.70621873,1.78887653
48.82058613,1.78709677
48.93495354,1.78620690
49.04932094,1.78531702
49.16368835,1.78531702
49.27805575,1.78442714
49.39242316,1.78264739
49.50679056,1.77997775
49.62115797,1.77730812
49.73552538,1.77374861
49.84989278,1.77018910
49.96426019,1.76662959
50.07862759,1.76307008
50.19299500,1.75862069
50.30736240,1.75417130
50.42172981,1.74972191
50.53609721,1.74438265
50.65046462,1.73904338
50.76483202,1.73370412
50.87919943,1.72747497
50.99356683,1.72124583
51.10793424,1.71590656
51.22230164,1.70967742
51.33666905,1.70344828
51.45103645,1.69721913
51.56540386,1.69098999
51.67977127,1.68387097
51.79413867,1.67764182
51.90850608,1.67141268
52.02287348,1.66518354
52.13724089,1.65895439
52.25160829,1.65272525
52.36597570,1.64649611
52.48034310,1.63937709
52.59471051,1.63314794
52.70907791,1.62691880
52.82344532,1.62068966
52.93781272,1.61446051
53.05218013,1.60912125
53.16654753,1.60289210
53.28091494,1.59666296
53.39528234,1.59132369
53.50964975,1.58598443
53.62401716,1.58064516
53.73838456,1.57619577
53.85275197,1.57174638
53.96711937,1.56729700
54.08148678,1.56284761
54.19585418,1.55839822
54.31022159,1.55483871
54.42458899,1.55127920
54.53895640,1.54860957
54.65332380,1.54682981
54.76769121,1.54505006
54.88205861,1.54327030
54.99642602,1.54238042
55.11079342,1.54149055
55.22516083,1.54060067
55.33952823,1.54060067
55.45389564,1.54060067
55.56826305,1.54060067
55.68263045,1.54060067
55.79699786,1.54060067
55.91136526,1.54060067
56.02573267,1.54060067
56.14010007,1.54060067
56.25446748,1.54104561
56.36883488,1.54193548
56.48320229,1.54282536
56.59756969,1.54371524
56.71193710,1.54460512
56.82630450,1.54505006
56.94067191,1.54505006
57.05503931,1.54505006
57.16940672,1.54505006
57.28377412,1.54505006
57.39814153,1.54505006
57.51250893,1.54505006
57.62687634,1.54505006
57.74124375,1.54505006
57.85561115,1.54505006
57.96997856,1.54416018
58.08434596,1.54327030
58.19871337,1.54149055
58.31308077,1.53971079
58.42744818,1.53793103
58.54181558,1.53615128
58.65618299,1.53348165
58.77055039,1.53170189
58.88491780,1.52903226
58.99928520,1.52547275
59.11365261,1.52191324
59.22802001,1.51835373
59.34238742,1.51390434
59.45675482,1.50945495
59.57112223,1.50500556
59.68548964,1.50055617
59.79985704,1.49610679
59.91422445,1.49165740
60.02859185,1.48720801
60.14295926,1.48186874
60.25732666,1.47652948
60.37169407,1.47119021
60.48606147,1.46496107
60.60042888,1.45873192
60.71479628,1.45250278
60.82916369,1.44538376
60.94353109,1.43826474
61.05789850,1.43114572
61.17226590,1.42313682
61.28663331,1.41601780
61.40100071,1.40889878
61.51536812,1.40088988
61.62973553,1.39288098
61.74410293,1.38576196
61.85847034,1.37775306
61.97283774,1.36974416
62.08720515,1.36262514
62.20157255,1.35550612
62.31593996,1.34838710
62.43030736,1.34126808
62.54467477,1.33503893
62.65904217,1.32791991
62.77340958,1.32169077
62.88777698,1.31546162
63.00214439,1.31012236
63.11651179,1.30478309
63.23087920,1.30033370
63.34524660,1.29632925
63.45961401,1.29276974
63.57398142,1.28965517
63.68834882,1.28698554
63.80271623,1.28476085
63.91708363,1.28253615
64.03145104,1.28031146
64.14581844,1.27808676
64.26018585,1.27630701
64.37455325,1.27497219
64.48892066,1.27408231
64.60328806,1.27363737
64.71765547,1.27363737
64.83202287,1.27363737
64.94639028,1.27274750
65.06075768,1.27239155
65.17512509,1.27256952
65.28949249,1.27328142
65.40385990,1.27452725
65.51822731,1.27719689
65.63259471,1.27986652
65.74696212,1.28253615
65.86132952,1.28520578
65.97569693,1.28787542
66.09006433,1.29054505
66.20443174,1.29179088
66.31879914,1.29339266
66.43316655,1.29535039
66.54753395,1.29766407
66.66190136,1.30033370
66.77626876,1.30478309
66.89063617,1.30745273
67.00500357,1.30923248
67.11937098,1.31012236
67.23373838,1.31012236
67.34810579,1.30923248
67.46247320,1.30923248
67.57684060,1.30923248
67.69120801,1.30923248
67.80557541,1.30923248
67.91994282,1.30923248
68.03431022,1.30923248
68.14867763,1.30923248
68.26304503,1.30923248
68.37741244,1.30923248
68.49177984,1.30923248
68.60614725,1.30834260
68.72051465,1.30745273
68.83488206,1.30567297
68.94924946,1.30300334
69.06361687,1.29885057
69.17798427,1.29410456
69.29235168,1.28787542
69.40671909,1.28105302
69.52108649,1.27363737
69.63545390,1.26622173
69.74982130,1.26028921
69.86418871,1.25583982
69.97855611,1.25287356
70.09292352,1.25050056
70.20729092,1.24783092
70.32165833,1.24427141
70.43602573,1.23626251
70.55039314,1.22647386
70.66476054,1.21668521
70.77912795,1.20689655
70.89349535,1.19710790
71.00786276,1.19176863
71.12223016,1.18642937
71.23659757,1.18020022
71.35096497,1.17397108
71.46533238,1.16685206
71.57969979,1.15795328
71.69406719,1.14905451
71.80843460,1.14015573
71.92280200,1.13125695
72.03716941,1.12235818
72.15153681,1.11434928
72.26590422,1.10634038
72.38027162,1.09922136
72.49463903,1.09210234
72.60900643,1.08587319
72.72337384,1.07875417
72.83774124,1.07252503
72.95210865,1.06629588
73.06647605,1.06095662
73.18084346,1.05561735
73.29521086,1.05116796
73.40957827,1.04760845
73.52394568,1.04404894
73.63831308,1.04137931
73.75268049,1.03959956
73.86704789,1.03870968
73.98141530,1.03781980
74.09578270,1.03781980
74.21015011,1.03781980
74.32451751,1.03781980
74.43888492,1.03781980
74.55325232,1.03781980
74.66761973,1.03870968
74.78198713,1.04048943
74.89635454,1.04315907
75.01072194,1.04671858
75.12508935,1.05027809
75.23945675,1.05294772
75.35382416,1.05561735
75.46819157,1.05739711
75.58255897,1.05917686
75.69692638,1.06095662
75.81129378,1.06362625
75.92566119,1.06629588
76.04002859,1.07074527
76.15439600,1.07519466
76.26876340,1.08053393
76.38313081,1.08587319
76.49749821,1.09121246
76.61186562,1.09566185
76.72623302,1.10055617
76.84060043,1.10589544
76.95496783,1.11167964
77.06933524,1.11790879
77.18370264,1.12324805
77.29807005,1.12725250
77.41243746,1.12992214
77.52680486,1.13125695
77.64117227,1.13125695
77.75553967,1.13125695
77.86990708,1.13125695
77.98427448,1.13125695
78.09864189,1.13125695
78.21300929,1.13125695
78.32737670,1.13066370
78.44174410,1.12947720
78.55611151,1.12769744
78.67047891,1.12532443
78.78484632,1.12235818
78.89921372,1.11939192
79.01358113,1.11701891
79.12794853,1.11523915
79.24231594,1.11405265
79.35668335,1.11345940
79.47105075,1.11256952
79.58541816,1.11078977
79.69978556,1.10812013
79.81415297,1.10367075
79.92852037,1.09833148
80.04288778,1.09210234
80.15725518,1.08587319
80.27162259,1.07875417
80.38598999,1.07163515
80.50035740,1.06451613
80.61472480,1.05739711
80.72909221,1.04938821
80.84345961,1.04137931
80.95782702,1.03337041
81.07219442,1.02447164
81.18656183,1.01557286
81.30092924,1.00667408
81.41529664,0.99688543
81.52966405,0.98709677
81.64403145,0.97730812
81.75839886,0.96751947
81.87276626,0.95773081
81.98713367,0.94794216
82.10150107,0.93815350
82.21586848,0.92836485
82.33023588,0.91857620
82.44460329,0.90878754
82.55897069,0.90077864
82.67333810,0.89276974
82.78770550,0.88476085
82.90207291,0.87675195
83.01644031,0.86963293
83.13080772,0.86162403
83.24517513,0.85450501
83.35954253,0.84827586
83.47390994,0.84293660
83.58827734,0.83759733
83.70264475,0.83403782
83.81701215,0.83047831
83.93137956,0.82780868
84.04574696,0.82602892
84.16011437,0.82513904
84.27448177,0.82424917
84.38884918,0.82424917
84.50321658,0.82424917
84.61758399,0.82424917
84.73195139,0.82424917
84.84631880,0.82513904
84.96068620,0.82780868
85.07505361,0.83136819
85.18942102,0.83581758
85.30378842,0.84115684
85.41815583,0.84738598
85.53252323,0.85272525
85.64689064,0.85895439
85.76125804,0.86518354
85.87562545,0.87230256
85.98999285,0.87942158
86.10436026,0.88654060
86.21872766,0.89365962
86.33309507,0.90077864
86.44746247,0.90789766
86.56182988,0.91412681
86.67619728,0.92124583
86.79056469,0.92747497
86.90493209,0.93459399
87.01929950,0.94082314
87.13366690,0.94705228
87.24803431,0.95239155
87.36240172,0.95773081
87.47676912,0.96218020
87.59113653,0.96662959
