r,gtt,grr,phi,gtt_schw,grr_schw
1.055371805147429010e+00,5.612103202526403517e-02,1.849842169338378994e+01,4.730911959199431971e-01,5.246663296987919001e-02,1.905973269857233987e+01
1.055857957536595615e+00,5.657596478128241319e-02,1.834046054756098698e+01,4.730270903556701989e-01,5.290290908723827012e-02,1.890255218953978655e+01
1.056344333869726260e+00,5.702972428419632311e-02,1.818898775795705802e+01,4.729629552614504906e-01,5.333898432845185500e-02,1.874801353250710889e+01
1.056830934249979537e+00,5.748239303247044962e-02,1.804378179756086098e+01,4.728987906236811201e-01,5.377485878600984925e-02,1.859605069311983883e+01
1.057317758780562000e+00,5.793406336027409620e-02,1.790458133075949476e+01,4.728345964287530845e-01,5.421053255235996904e-02,1.844659981958555051e+01
1.057804807564727279e+00,5.838483610228072107e-02,1.777108960727422371e+01,4.727703726630509418e-01,5.464600571990707589e-02,1.829959915324073805e+01
1.058292080705777183e+00,5.883481918030842445e-02,1.764297907334560023e+01,4.727061193129530325e-01,5.508127838101373186e-02,1.815498894347912540e+01
1.058779578307060376e+00,5.928412613164897593e-02,1.751989612953460451e+01,4.726418363648314247e-01,5.551635062799964437e-02,1.801271136679597262e+01
1.059267300471973483e+00,5.973287459894469076e-02,1.740146596788842359e+01,4.725775238050520244e-01,5.595122255314211035e-02,1.787271044971727818e+01
1.059755247303960868e+00,6.018118480123416103e-02,1.728729742511376344e+01,4.725131816199742985e-01,5.638589424867623823e-02,1.773493199539841925e+01
1.060243418906514412e+00,6.062917800532736934e-02,1.717698779271567489e+01,4.724488097959513855e-01,5.682036580679428184e-02,1.759932351369031878e+01
1.060731815383173737e+00,6.107697501600371781e-02,1.707012752971133906e+01,4.724082221726573216e-01,5.725463731964641756e-02,1.746583415448269605e+01
1.061220436837526204e+00,6.152469470265838764e-02,1.696630482843702836e+01,4.723771247268840345e-01,5.768870887934007818e-02,1.733441464414759281e+01
1.061709283373206469e+00,6.197245257899183096e-02,1.686510998905152192e+01,4.723460129562088161e-01,5.812258057794028598e-02,1.720501722491546914e+01
1.062198355093897595e+00,6.242035945114751683e-02,1.676613956353531876e+01,4.723148868540330558e-01,5.855625250747009680e-02,1.707759559702746799e+01
1.062687652103329938e+00,6.286852014838092972e-02,1.666900023522143570e+01,4.722837464137549235e-01,5.898972475990948983e-02,1.695210486351715673e+01
1.063177174505281597e+00,6.331703234892047116e-02,1.657331240511105008e+01,4.722525916287697023e-01,5.942299742719669986e-02,1.682850147748218816e+01
1.063666922403578852e+00,6.376598551215305333e-02,1.647871346137459270e+01,4.722214224924695669e-01,5.985607060122732914e-02,1.670674319171722289e+01
1.064156895902095723e+00,6.421545992668960257e-02,1.638486071346000372e+01,4.721902389982435833e-01,6.028894437385501348e-02,1.658678901058452482e+01
1.064647095104753527e+00,6.466552588222691800e-02,1.629143397708900309e+01,4.721590411394779307e-01,6.072161883689042305e-02,1.646859914400810254e+01
1.065137520115522429e+00,6.511624297147140805e-02,1.619813780107435619e+01,4.721278289095555136e-01,6.115409408210292774e-02,1.635213496348162465e+01
1.065628171038419447e+00,6.556765952671479714e-02,1.610470333131065601e+01,4.720966023018564606e-01,6.158637020121848771e-02,1.623735895998973788e+01
1.066119047977510448e+00,6.601981219401452383e-02,1.601088981144223311e+01,4.720653613097576251e-01,6.201844728592187383e-02,1.612423470374433165e+01
1.066610151036908372e+00,6.647272564629387592e-02,1.591648572358284497e+01,4.720341059266329187e-01,6.245032542785489138e-02,1.601272680564715145e+01
1.067101480320775009e+00,6.692641243511585070e-02,1.582130957602300114e+01,4.720028361458531441e-01,6.288200471861782326e-02,1.590280088039121331e+01
1.067593035933319223e+00,6.738087297935962949e-02,1.572521034811165386e+01,4.719715519607861620e-01,6.331348524976798675e-02,1.579442351112181875e+01
1.068084817978798506e+00,6.783609568760086417e-02,1.562806760541874951e+01,4.719402533647966691e-01,6.374476711282117680e-02,1.568756221557937103e+01
1.068576826561518311e+00,6.829205720963693604e-02,1.552979130088010074e+01,4.719089403512463088e-01,6.417585039925088886e-02,1.558218541365324583e+01
1.069069061785831831e+00,6.874872281135369079e-02,1.543032127988549540e+01,4.718776129134937269e-01,6.460673520048842988e-02,1.547826239627784162e+01
1.069561523756140664e+00,6.920604686598248734e-02,1.532962650920347158e+01,4.718462710448944608e-01,6.503742160792302940e-02,1.537576329560668498e+01
1.070054212576894370e+00,6.966397345376644512e-02,1.522770405124436266e+01,4.718149147388009945e-01,6.546790971290183947e-02,1.527465905640376320e+01
1.070547128352590471e+00,7.012243706114792974e-02,1.512457780645478600e+01,4.717835439885628146e-01,6.589819960672982369e-02,1.517492140859453009e+01
1.071040271187774895e+00,7.058136336980505576e-02,1.502029704762239248e+01,4.717521587875262434e-01,6.632829138067031227e-02,1.507652284092191231e+01
1.071533641187041530e+00,7.104067012520945412e-02,1.491493477056322803e+01,4.717207591290345503e-01,6.675818512594411391e-02,1.497943657565627618e+01
1.072027238455032672e+00,7.150026807385562178e-02,1.480858588607527437e+01,4.716893450064280069e-01,6.718788093373051495e-02,1.488363654430969341e+01
1.072521063096438354e+00,7.196006195791136706e-02,1.470136527819346206e+01,4.716579164130438317e-01,6.761737889516628019e-02,1.478909736430919786e+01
1.073015115215997239e+00,7.241995155577933552e-02,1.459340575368194948e+01,4.716003591292303732e-01,6.804667910134643005e-02,1.469579431658426216e+01
1.073509394918496396e+00,7.287983275691245488e-02,1.448485590737508844e+01,4.715308937383491106e-01,6.847578164332457362e-02,1.460370332402749582e+01
1.074003902308770630e+00,7.333959865920933185e-02,1.437587792744208670e+01,4.714613963485405068e-01,6.890468661211146539e-02,1.451280093078935352e+01
1.074498637491703379e+00,7.379914067742057715e-02,1.426664536392197924e+01,4.713918669450643528e-01,6.933339409867667058e-02,1.442306428236846472e+01
1.074993600572226482e+00,7.425834965119898490e-02,1.415734088297934967e+01,4.713223055131737227e-01,6.976190419394767694e-02,1.433447110646324418e+01
1.075488791655319520e+00,7.471711694174990037e-02,1.404815402827939330e+01,4.712527120381148626e-01,7.019021698880956173e-02,1.424699969455045512e+01
1.075984210846011591e+00,7.517533550645440210e-02,1.393927900969828571e+01,4.711830865051271910e-01,7.061833257410687903e-02,1.416062888415837406e+01
1.076479858249378863e+00,7.563290094133173769e-02,1.383091253829186584e+01,4.711134288994434094e-01,7.104625104064088426e-02,1.407533804180555315e+01
1.076975733970546578e+00,7.608971248181382874e-02,1.372325172505171764e+01,4.710437392062893913e-01,7.147397247917164353e-02,1.399110704657435633e+01
1.077471838114688607e+00,7.654567395294571697e-02,1.361649205951674801e+01,4.709740174108840716e-01,7.190149698041792270e-02,1.390791627429323007e+01
1.077968170787026780e+00,7.700069466085979197e-02,1.351082548278303719e+01,4.709042634984398346e-01,7.232882463505585502e-02,1.382574658230138986e+01
1.078464732092831779e+00,7.745469021815259980e-02,1.340643856788958566e+01,4.708344774541619593e-01,7.275595553372038449e-02,1.374457929477027562e+01
1.078961522137422469e+00,7.790758329660769921e-02,1.330351081897055998e+01,4.707646592632491744e-01,7.318288976700459969e-02,1.366439618855912208e+01
1.079458541026166341e+00,7.835930430157517224e-02,1.320221309896406048e+01,4.706948089108932143e-01,7.360962742545962278e-02,1.358517947958158523e+01
1.079955788864479516e+00,7.880979196320207769e-02,1.310270619407357451e+01,4.706249263822790962e-01,7.403616859959527563e-02,1.350691180966199489e+01
